#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
160;70;66,8;56,6;80;44,9;30,3;27,4;11,1;#0E100B;38,32;very dark yellow-green;#422A1C;25,08;dark red-orange;#95A091;12,54;pale yellow-green;#4D655F;9,74;pale cyan;#7A5842;9,08;red-orange
161;109,4;102,2;96;68,5;20,7;43,1;42,7;6,1;#77736E;27,11;grey;#92918F;19,14;grey;#524A41;17,94;dark orange;#261D17;16,25;very dark red-orange;#412614;10,71;dark red-orange
162;130,3;116;94,9;55,6;38,3;51,8;48,5;15,5;#382611;28,77;dark orange;#706453;21,79;orange;#999994;20,29;light grey;#E4E0DD;14,3;very light grey;#865E27;8,63;orange
163;109,5;109,5;95,1;78,4;24,9;45;44,5;10,5;#413B2B;26,77;dark orange;#A7A7A4;21,12;light grey;#1A1711;18,33;very dark orange;#736F64;16,01;pale orange;#F0F2EB;9,54;white
164;143,3;120,5;110,7;93,8;30,2;56,4;51,7;13,5;#86706E;27,8;pale red;#BAA5A3;25,55;pale red;#624431;16,98;red-orange;#9C7857;13,44;red-orange;#241710;9,32;very dark red-orange
165;90,9;103,8;109;112,1;30,1;47,1;41,8;13,5;#171312;29,63;very dark red;#68604B;20,9;orange;#75BDFA;16,58;blue-cyan;#9F9E97;15,6;light grey;#403A32;10,41;dark orange
166;138,3;135,4;124,7;117;27,8;59,2;56,2;19,3;#797243;26,47;yellow-orange;#928F6E;23,18;pale yellow-orange;#B6B9DF;22,3;pale blue;#464036;12,35;dark orange;#989593;10,84;grey
167;86,9;73,3;66,6;83;46,1;37,9;31,4;16,9;#11100B;32,18;very dark yellow-orange;#363827;16,93;dark yellow;#582A1E;16,36;dark red;#9F7657;15,46;red-orange;#D8CBC4;11,13;pale red-orange
168;111,2;94,3;81,2;62,1;31,4;44;40,6;12,9;#6F5A45;28,78;orange;#4B3C2E;25,1;dark red-orange;#84716A;20,32;pale red-orange;#201F27;10,76;very dark blue;#B59C80;10,75;orange
169;95,6;102,2;110;167,1;37,7;45,7;41,4;10,3;#0F273C;34,43;dark blue-cyan;#B7B0B0;16,96;light grey;#E9E0DD;13,72;very light grey;#1A2228;13,71;very dark blue-cyan;#858283;11,97;grey
170;108,6;112,2;114;142,8;11,8;45,5;46;3,4;#A3A3A3;46,72;light grey;#121112;14,93;black;#2B3037;14,16;dark blue-cyan;#787878;13,75;grey;#306877;5,37;cyan
171;116,4;156,2;128,3;126,4;32,2;61,5;60,4;23;#7FBFA1;39,31;blue-green;#629579;24,87;blue-green;#676B50;11,01;yellow;#979D7D;10,84;pale yellow;#121F14;8,12;very dark green
172;113,7;125,9;64;68,8;56,3;52,2;50;36,4;#83A55C;38,12;yellow-green;#607E37;20,47;yellow-green;#7C682C;11,6;yellow-orange;#503D16;10,23;dark orange;#B4A05E;10,16;yellow-orange
173;91,3;144;94;114;48,8;57,2;54,7;36,4;#62C573;21,54;green;#516034;20,27;dark yellow-green;#498E57;17,89;green;#72C8A8;16,76;blue-green;#273421;14,97;dark yellow-green
174;142,6;122,9;113,6;111,4;24,2;55,9;52,4;11,7;#968877;29,94;pale orange;#5B4337;18,04;dark red-orange;#AD9999;17,49;pale red;#786251;16,18;red-orange;#FADFE4;10,71;pale red
